MaterialID,Topic
3,http://dbpedia.org/resource/Part-of-speech_tagging
3,http://dbpedia.org/resource/Part_of_speech
3,http://dbpedia.org/resource/Brown_Corpus
3,http://dbpedia.org/resource/Parsing
3,http://dbpedia.org/resource/Named-entity_recognition
3,http://dbpedia.org/resource/Nucleotide_excision_repair
3,http://dbpedia.org/resource/Main_Page
3,http://dbpedia.org/resource/Battle_of_Waterloo
4,http://dbpedia.org/resource/English_language
4,http://dbpedia.org/resource/Sport_Club_Internacional
4,http://dbpedia.org/resource/Canada
4,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific
4,http://dbpedia.org/resource/This_Week_(American_TV_program)
4,http://dbpedia.org/resource/Chatbot
4,http://dbpedia.org/resource/AIML
4,http://dbpedia.org/resource/Trigonometric_functions
4,http://dbpedia.org/resource/K-nearest_neighbors_algorithm
4,http://dbpedia.org/resource/Scikit-learn
4,http://dbpedia.org/resource/Wine
4,http://dbpedia.org/resource/Open_standard
4,http://dbpedia.org/resource/Library
4,http://dbpedia.org/resource/XML
4,http://dbpedia.org/resource/UTF-8
4,http://dbpedia.org/resource/Artificial_intelligence
4,http://dbpedia.org/resource/Applied_Artificial_Intelligence
4,http://dbpedia.org/resource/Monty_Python
4,http://dbpedia.org/resource/Cloud_computing
4,http://dbpedia.org/resource/Amazon_Lex
4,http://dbpedia.org/resource/Google
4,http://dbpedia.org/resource/Dialogflow
4,http://dbpedia.org/resource/Pandorabots
4,http://dbpedia.org/resource/Amazons
4,http://dbpedia.org/resource/Microsoft
4,http://dbpedia.org/resource/IBM
4,http://dbpedia.org/resource/Church_of_the_SubGenius
4,http://dbpedia.org/resource/Skype
4,http://dbpedia.org/resource/Twitter
4,http://dbpedia.org/resource/Facebook_Messenger
4,http://dbpedia.org/resource/Open-source_software
4,http://dbpedia.org/resource/Saint_Jonas'_Festival
4,http://dbpedia.org/resource/Array_data_structure
4,http://dbpedia.org/resource/Cosine_similarity
4,http://dbpedia.org/resource/Interview
4,http://dbpedia.org/resource/Gzip
4,http://dbpedia.org/resource/NumPy
4,http://dbpedia.org/resource/Noun_phrase
4,http://dbpedia.org/resource/Natural_language_processing
4,http://dbpedia.org/resource/Blender
4,http://dbpedia.org/resource/Data_set
4,http://dbpedia.org/resource/Original_equipment_manufacturer
4,http://dbpedia.org/resource/Whirlpool
4,http://dbpedia.org/resource/KitchenAid
4,http://dbpedia.org/resource/Question_answering
4,http://dbpedia.org/resource/The_Approach_Gallery
4,http://dbpedia.org/resource/Machine_learning
4,http://dbpedia.org/resource/Algorithm
4,http://dbpedia.org/resource/Bill_Gates
4,http://dbpedia.org/resource/Concordia_University
4,http://dbpedia.org/resource/City
4,http://dbpedia.org/resource/McGill_University
4,http://dbpedia.org/resource/Feature_(machine_learning)
4,http://dbpedia.org/resource/Tf–idf
4,http://dbpedia.org/resource/Supervised_learning
4,http://dbpedia.org/resource/Statistical_classification
4,http://dbpedia.org/resource/Chlorine_monofluoride
4,http://dbpedia.org/resource/Support-vector_machine
4,http://dbpedia.org/resource/National_Union_of_Mineworkers_(Great_Britain)
4,http://dbpedia.org/resource/French_language
4,http://dbpedia.org/resource/Source_lines_of_code
4,http://dbpedia.org/resource/Orinoco
4,http://dbpedia.org/resource/Language_processing_in_the_brain
4,http://dbpedia.org/resource/SpaCy
4,http://dbpedia.org/resource/Gifted_education
4,http://dbpedia.org/resource/Setuptools
4,http://dbpedia.org/resource/Lexical_analysis
4,http://dbpedia.org/resource/Part-of-speech_tagging
4,http://dbpedia.org/resource/Basic_English
4,http://dbpedia.org/resource/Pythonidae
4,http://dbpedia.org/resource/Language_model
4,http://dbpedia.org/resource/Part_of_speech
4,http://dbpedia.org/resource/Chicago
4,http://dbpedia.org/resource/Superman
4,http://dbpedia.org/resource/Earth
4,http://dbpedia.org/resource/Krypton
4,http://dbpedia.org/resource/American_English
4,http://dbpedia.org/resource/Smallville
4,http://dbpedia.org/resource/Jonathan_and_Martha_Kent
4,http://dbpedia.org/resource/Vigilantism
4,http://dbpedia.org/resource/Privacy
4,http://dbpedia.org/resource/Metropolis
4,http://dbpedia.org/resource/Lois_Lane
4,http://dbpedia.org/resource/Daily_Planet
4,http://dbpedia.org/resource/Jimmy_Olsen
4,http://dbpedia.org/resource/Editing
4,http://dbpedia.org/resource/Perry_White
4,http://dbpedia.org/resource/Lex_Luthor
4,http://dbpedia.org/resource/Mad_scientist
4,http://dbpedia.org/resource/Parsing
4,http://dbpedia.org/resource/Formal_grammar
4,http://dbpedia.org/resource/Governor
4,http://dbpedia.org/resource/Parse_tree
4,http://dbpedia.org/resource/Named-entity_recognition
4,http://dbpedia.org/resource/Nucleotide_excision_repair
4,http://dbpedia.org/resource/United_Kingdom
4,http://dbpedia.org/resource/Mobile_phone
4,http://dbpedia.org/resource/Group_Selection_(book)
4,http://dbpedia.org/resource/Moodle
4,http://dbpedia.org/resource/Test_cricket
4,http://dbpedia.org/resource/Contact_(1997_American_film)
4,http://dbpedia.org/resource/Proxemics
4,http://dbpedia.org/resource/General_officer
5,http://dbpedia.org/resource/Text_mining
5,http://dbpedia.org/resource/General_Architecture_for_Text_Engineering
5,http://dbpedia.org/resource/Natural_language_processing
5,http://dbpedia.org/resource/Lexical_analysis
5,http://dbpedia.org/resource/Part_of_speech
5,http://dbpedia.org/resource/Chongqing
5,http://dbpedia.org/resource/Parsing
5,http://dbpedia.org/resource/Named-entity_recognition
5,http://dbpedia.org/resource/Entity_linking
5,http://dbpedia.org/resource/Reading
5,http://dbpedia.org/resource/College_of_Osteopathic_Medicine_of_the_Pacific
5,http://dbpedia.org/resource/Computer_science
5,http://dbpedia.org/resource/Software_engineering
5,http://dbpedia.org/resource/Main_Page
5,http://dbpedia.org/resource/Walter_Scott
5,http://dbpedia.org/resource/SpaCy
5,http://dbpedia.org/resource/Tumor_board_review
5,http://dbpedia.org/resource/Kilobyte
5,http://dbpedia.org/resource/Deletion_(genetics)
5,http://dbpedia.org/resource/Protein
5,http://dbpedia.org/resource/Point_mutation
5,http://dbpedia.org/resource/Gefitinib
5,http://dbpedia.org/resource/Mutation
5,http://dbpedia.org/resource/PubMed
5,http://dbpedia.org/resource/Mothers_against_decapentaplegic_homolog_3
5,http://dbpedia.org/resource/Idiom
5,http://dbpedia.org/resource/Knowledge_worker
5,http://dbpedia.org/resource/Plain_text
5,http://dbpedia.org/resource/HTML
5,http://dbpedia.org/resource/XML
5,http://dbpedia.org/resource/PDF
5,http://dbpedia.org/resource/Coreference
5,http://dbpedia.org/resource/Machine_learning
5,http://dbpedia.org/resource/Open-source_software
5,http://dbpedia.org/resource/Noun_phrase
5,http://dbpedia.org/resource/General_officer
5,http://dbpedia.org/resource/Sheffield
5,http://dbpedia.org/resource/British_English
5,http://dbpedia.org/resource/UIMA
5,http://dbpedia.org/resource/IBM
5,http://dbpedia.org/resource/Apache_HTTP_Server
5,http://dbpedia.org/resource/GNU_Lesser_General_Public_License
5,http://dbpedia.org/resource/Natural_Language_Toolkit
5,http://dbpedia.org/resource/Monty_Python
5,http://dbpedia.org/resource/Stanford_University
5,http://dbpedia.org/resource/Apache_OpenNLP
5,http://dbpedia.org/resource/Deep_learning
5,http://dbpedia.org/resource/Keras
5,http://dbpedia.org/resource/TensorFlow
5,http://dbpedia.org/resource/PyTorch
5,http://dbpedia.org/resource/The_Apache_Software_Foundation
5,http://dbpedia.org/resource/English_language
5,http://dbpedia.org/resource/Brill_tagger
5,http://dbpedia.org/resource/Brown_Corpus
5,http://dbpedia.org/resource/Grammar
5,http://dbpedia.org/resource/Computational_humor
5,http://dbpedia.org/resource/Retinoblastoma_protein
5,http://dbpedia.org/resource/Manning_Publications
5,http://dbpedia.org/resource/Language_model
5,http://dbpedia.org/resource/Verb
5,http://dbpedia.org/resource/Database
5,http://dbpedia.org/resource/Canon_EOS
5,http://dbpedia.org/resource/Mexico
5,http://dbpedia.org/resource/Morphological_analysis_(problem-solving)
5,http://dbpedia.org/resource/Morphological_derivation
5,http://dbpedia.org/resource/Inflection
5,http://dbpedia.org/resource/Lemmatisation
5,http://dbpedia.org/resource/Headword
5,http://dbpedia.org/resource/Information_retrieval
5,http://dbpedia.org/resource/Algorithm
5,http://dbpedia.org/resource/Cole_Porter
5,http://dbpedia.org/resource/Apache_Lucene
5,http://dbpedia.org/resource/Simpson_family
5,http://dbpedia.org/resource/Lexicon
5,http://dbpedia.org/resource/Semantics
5,http://dbpedia.org/resource/Black_cat
5,http://dbpedia.org/resource/Judge
5,http://dbpedia.org/resource/Normalnull
5,http://dbpedia.org/resource/Visual_Basic
5,http://dbpedia.org/resource/Syntax
5,http://dbpedia.org/resource/Adjective
5,http://dbpedia.org/resource/Adverb
5,http://dbpedia.org/resource/Pronoun
5,http://dbpedia.org/resource/Noun
5,http://dbpedia.org/resource/Determiner
5,http://dbpedia.org/resource/Preposition_and_postposition
5,http://dbpedia.org/resource/University_of_Pennsylvania
